Time		V		A		Wh		Ah	CA_Ah
00:01.6		42.15		0.00		0.0		0.00	51.72
00:02.6		42.16		0.00		0.0		0.00	51.72
00:03.6		42.15		0.01		0.0		0.00	51.72
00:04.6		42.16		0.01		0.0		0.00	51.72
00:05.6		42.16		0.01		0.0		0.00	51.72
00:06.6		42.16		0.01		0.0		0.00	51.72
00:07.6		42.15		0.01		0.0		0.00	51.72
00:08.6		42.16		0.01		0.0		0.00	51.72
00:09.6		42.16		0.00		0.0		0.00	51.72
00:10.6		42.15		0.00		0.0		0.00	51.72
00:11.6		42.16		0.01		0.0		0.00	51.72
00:12.6		42.15		0.00		0.0		0.00	51.72
00:13.6		42.16		0.01		0.0		0.00	51.72
00:14.6		42.16		0.01		0.0		0.00	51.72
00:15.6		42.15		0.00		0.0		0.00	51.72
00:16.6		42.16		0.00		0.0		0.00	51.72
00:17.6		42.15		0.02		0.0		0.00	51.72
00:18.6		41.55		5.93		0.0		0.00	51.72
00:19.6		41.55		5.93		0.1		0.00	51.72
00:20.6		41.55		5.93		0.1		0.00	51.72
00:21.6		41.55		5.93		0.2		0.00	51.73
00:22.6		41.52		5.93		0.3		0.01	51.73
00:23.6		41.46		5.94		0.3		0.01	51.73
00:24.6		41.43		5.92		0.4		0.01	51.73
00:25.6		41.41		5.94		0.5		0.01	51.73
00:26.6		41.41		5.95		0.5		0.01	51.73
00:27.6		41.40		5.94		0.6		0.01	51.74
00:28.6		41.41		5.93		0.7		0.02	51.74
00:29.6		41.40		5.93		0.8		0.02	51.74
00:30.6		41.41		5.94		0.8		0.02	51.74
00:31.6		41.40		5.95		0.9		0.02	51.74
00:32.6		41.40		5.93		1.0		0.02	51.74
00:33.6		41.40		5.93		1.0		0.02	51.74
00:34.6		41.41		5.93		1.1		0.03	51.75
00:35.6		41.40		5.93		1.2		0.03	51.75
00:36.6		41.12		8.69		1.2		0.03	51.75
00:37.6		40.80		11.49		1.3		0.03	51.75
00:38.6		40.80		11.48		1.5		0.04	51.76
00:39.6		40.80		11.49		1.6		0.04	51.76
00:40.6		40.80		11.48		1.7		0.04	51.76
00:41.6		40.80		11.49		1.9		0.04	51.77
00:42.6		40.80		11.49		2.0		0.05	51.77
00:43.6		40.80		11.50		2.1		0.05	51.77
00:44.6		40.80		11.48		2.2		0.05	51.78
00:45.6		40.79		11.47		2.4		0.06	51.78
00:46.6		40.80		11.48		2.5		0.06	51.78
00:47.6		40.79		11.47		2.6		0.06	51.78
00:48.6		40.74		11.48		2.8		0.07	51.79
00:49.6		40.70		11.47		2.9		0.07	51.79
00:50.6		40.65		11.48		3.0		0.07	51.80
00:51.6		40.65		11.47		3.2		0.08	51.80
00:52.6		40.65		11.46		3.3		0.08	51.80
00:53.6		40.65		11.47		3.4		0.08	51.80
00:54.6		40.65		11.47		3.5		0.09	51.81
00:55.6		40.64		11.47		3.7		0.09	51.81
00:56.6		40.65		11.45		3.8		0.09	51.81
00:57.6		40.65		11.45		3.9		0.10	51.82
00:58.6		40.65		11.47		4.1		0.10	51.82
00:59.6		40.65		11.46		4.2		0.10	51.82
01:00.6		40.65		11.45		4.3		0.11	51.83
01:01.6		40.64		11.46		4.4		0.11	51.83
01:02.6		40.64		11.45		4.6		0.11	51.83
01:03.6		40.65		11.46		4.7		0.11	51.84
01:04.6		40.65		11.46		4.8		0.12	51.84
01:05.6		40.64		11.44		5.0		0.12	51.84
01:06.6		40.64		11.45		5.1		0.12	51.85
01:07.6		40.64		11.46		5.2		0.13	51.85
01:08.6		40.63		11.45		5.3		0.13	51.85
01:09.6		40.59		11.45		5.5		0.13	51.86
01:10.6		40.53		11.44		5.6		0.14	51.86
01:11.6		40.52		11.46		5.7		0.14	51.86
01:12.6		40.50		11.44		5.9		0.14	51.87
01:13.6		40.50		11.45		6.0		0.15	51.87
01:14.6		40.50		11.44		6.1		0.15	51.87
01:15.6		40.50		11.45		6.3		0.15	51.88
01:16.6		40.50		11.45		6.4		0.16	51.88
01:17.6		40.50		11.43		6.5		0.16	51.88
01:18.6		40.50		11.45		6.6		0.16	51.88
01:19.6		40.49		11.44		6.8		0.17	51.89
01:20.6		40.50		11.43		6.9		0.17	51.89
01:21.6		40.50		11.45		7.0		0.17	51.89
01:22.6		40.50		11.44		7.2		0.18	51.90
01:23.6		40.50		11.44		7.3		0.18	51.90
01:24.6		40.49		11.42		7.4		0.18	51.90
01:25.6		40.50		11.43		7.5		0.18	51.91
01:26.6		40.49		11.42		7.7		0.19	51.91
01:27.6		40.50		11.44		7.8		0.19	51.91
01:28.6		40.50		11.43		7.9		0.19	51.92
01:29.6		40.49		11.43		8.1		0.20	51.92
01:30.6		40.49		11.44		8.2		0.20	51.92
01:31.6		40.49		11.43		8.3		0.20	51.92
01:32.6		40.49		11.43		8.4		0.21	51.93
01:33.6		40.49		11.42		8.6		0.21	51.93
01:34.6		40.49		11.43		8.7		0.21	51.94
01:35.6		40.49		11.42		8.8		0.22	51.94
01:36.6		40.47		11.42		9.0		0.22	51.94
01:37.6		40.44		11.41		9.1		0.22	51.94
01:38.6		40.39		11.43		9.2		0.23	51.95
01:39.6		40.37		11.43		9.3		0.23	51.95
01:40.6		40.35		11.42		9.5		0.23	51.95
01:41.6		40.35		11.41		9.6		0.24	51.96
01:42.6		40.35		11.41		9.7		0.24	51.96
01:43.6		40.35		11.41		9.9		0.24	51.96
01:44.6		40.35		11.42		10.0		0.25	51.97
01:45.6		40.35		11.40		10.1		0.25	51.97
01:46.6		40.35		11.42		10.2		0.25	51.97
01:47.6		40.34		11.41		10.4		0.25	51.98
01:48.6		40.35		11.40		10.5		0.26	51.98
01:49.6		40.35		11.40		10.6		0.26	51.98
01:50.6		40.35		11.40		10.7		0.26	51.99
01:51.6		40.35		11.41		10.9		0.27	51.99
01:52.6		40.34		11.41		11.0		0.27	51.99
01:53.6		40.35		11.40		11.1		0.27	51.99
01:54.6		40.34		11.40		11.3		0.28	52.00
01:55.6		40.35		11.39		11.4		0.28	52.00
01:56.6		40.34		11.39		11.5		0.28	52.01
01:57.6		40.34		11.39		11.6		0.29	52.01
01:58.6		40.34		11.39		11.8		0.29	52.01
01:59.6		40.35		11.39		11.9		0.29	52.01
02:00.6		40.74		6.52		12.0		0.30	52.02
02:01.6		40.80		5.88		12.1		0.30	52.02
02:02.6		40.84		5.88		12.2		0.30	52.02
02:03.6		40.89		5.88		12.2		0.30	52.02
02:04.6		40.91		5.88		12.3		0.30	52.02
02:05.6		40.94		5.87		12.4		0.30	52.02
02:06.6		40.94		5.88		12.4		0.31	52.03
02:07.6		40.94		5.88		12.5		0.31	52.03
02:08.6		40.94		5.89		12.6		0.31	52.03
02:09.6		40.94		5.88		12.6		0.31	52.03
02:10.6		40.94		5.88		12.7		0.31	52.03
02:11.6		40.94		5.89		12.8		0.31	52.03
02:12.6		40.94		5.88		12.8		0.32	52.04
02:13.6		40.94		5.88		12.9		0.32	52.04
02:14.6		40.94		5.88		13.0		0.32	52.04
02:15.6		40.94		5.87		13.0		0.32	52.04
02:16.6		40.94		5.89		13.1		0.32	52.04
02:17.6		40.94		5.88		13.2		0.32	52.04
02:18.6		40.95		5.89		13.2		0.33	52.05
02:19.6		40.94		5.89		13.3		0.33	52.05
02:20.6		40.94		5.89		13.4		0.33	52.05
02:21.6		40.94		5.89		13.4		0.33	52.05
02:22.6		40.95		5.88		13.5		0.33	52.05
02:23.6		40.95		5.88		13.6		0.33	52.05
02:24.6		40.94		5.89		13.6		0.34	52.05
02:25.6		40.94		5.89		13.7		0.34	52.06
02:26.6		40.95		5.89		13.8		0.34	52.06
02:27.6		40.94		5.89		13.8		0.34	52.06
02:28.6		40.94		5.89		13.9		0.34	52.06
02:29.6		40.94		5.87		14.0		0.34	52.06
02:30.6		40.94		5.89		14.0		0.35	52.06
02:31.6		40.94		5.88		14.1		0.35	52.07
02:32.6		40.95		5.89		14.2		0.35	52.07
02:33.6		40.94		5.88		14.2		0.35	52.07
02:34.6		40.94		5.88		14.3		0.35	52.07
02:35.6		40.94		5.90		14.4		0.35	52.07
02:36.6		40.94		5.88		14.4		0.35	52.08
02:37.6		40.94		5.89		14.5		0.36	52.08
02:38.6		40.94		5.89		14.6		0.36	52.08
02:39.6		40.94		5.89		14.6		0.36	52.08
02:40.6		40.94		5.90		14.7		0.36	52.08
02:41.6		40.94		5.89		14.8		0.36	52.08
02:42.6		40.95		5.89		14.8		0.36	52.09
02:43.6		40.94		5.90		14.9		0.37	52.09
02:44.6		40.94		5.89		15.0		0.37	52.09
02:45.6		40.94		5.89		15.0		0.37	52.09
02:46.6		40.94		5.88		15.1		0.37	52.09
02:47.6		40.94		5.88		15.2		0.37	52.09
02:48.6		40.94		5.88		15.2		0.37	52.09
02:49.6		40.94		5.89		15.3		0.38	52.10
02:50.6		40.94		5.89		15.4		0.38	52.10
02:51.6		40.94		5.90		15.4		0.38	52.10
02:52.6		40.94		5.89		15.5		0.38	52.10
02:53.6		40.94		5.88		15.6		0.38	52.10
02:54.6		40.94		5.90		15.6		0.38	52.10
02:55.6		40.94		5.89		15.7		0.39	52.11
02:56.6		40.94		5.89		15.8		0.39	52.11
02:57.6		40.94		5.89		15.8		0.39	52.11
02:58.6		40.94		5.89		15.9		0.39	52.11
02:59.6		40.93		5.88		16.0		0.39	52.11
03:00.6		40.93		5.89		16.0		0.39	52.11
03:01.6		40.93		5.89		16.1		0.40	52.12
03:02.6		40.92		5.89		16.2		0.40	52.12
03:03.6		40.91		5.89		16.2		0.40	52.12
03:04.6		40.91		5.88		16.3		0.40	52.12
03:05.6		40.90		5.89		16.4		0.40	52.12
03:06.6		40.89		5.88		16.4		0.40	52.12
03:07.6		40.88		5.88		16.5		0.41	52.13
03:08.6		40.88		5.88		16.6		0.41	52.13
03:09.6		40.87		5.88		16.6		0.41	52.13
03:10.6		40.86		5.89		16.7		0.41	52.13
03:11.6		40.85		5.88		16.8		0.41	52.13
03:12.6		40.84		5.89		16.8		0.41	52.13
03:13.6		40.83		5.89		16.9		0.42	52.13
03:14.6		40.82		5.89		17.0		0.42	52.14
03:15.6		40.82		5.89		17.0		0.42	52.14
03:16.6		40.81		5.88		17.1		0.42	52.14
03:17.6		40.81		5.89		17.2		0.42	52.14
03:18.6		40.81		5.90		17.2		0.42	52.14
03:19.6		40.80		5.90		17.3		0.43	52.15
03:20.6		40.80		5.89		17.4		0.43	52.15
03:21.6		40.80		5.89		17.4		0.43	52.15
03:22.6		40.80		5.88		17.5		0.43	52.15
03:23.6		40.80		5.88		17.6		0.43	52.15
03:24.6		40.80		5.89		17.6		0.43	52.15
03:25.6		40.80		5.88		17.7		0.44	52.16
03:26.6		40.80		5.89		17.8		0.44	52.16
03:27.6		40.80		5.89		17.8		0.44	52.16
03:28.6		40.80		5.89		17.9		0.44	52.16
03:29.6		40.80		5.88		18.0		0.44	52.16
03:30.6		40.80		5.89		18.0		0.44	52.16
03:31.6		40.80		5.89		18.1		0.44	52.16
03:32.6		40.80		5.89		18.2		0.45	52.17
03:33.6		40.80		5.89		18.2		0.45	52.17
03:34.6		40.80		5.88		18.3		0.45	52.17
03:35.6		40.80		5.87		18.4		0.45	52.17
03:36.6		40.80		5.88		18.4		0.45	52.17
03:37.6		40.80		5.89		18.5		0.45	52.17
03:38.6		40.80		5.89		18.6		0.46	52.18
03:39.6		40.80		5.89		18.6		0.46	52.18
03:40.6		40.80		5.89		18.7		0.46	52.18
03:41.6		40.80		5.88		18.8		0.46	52.18
03:42.6		40.80		5.88		18.8		0.46	52.18
03:43.7		40.80		5.89		18.9		0.46	52.18
03:44.6		40.80		5.88		19.0		0.47	52.19
03:45.6		40.80		5.89		19.0		0.47	52.19
03:46.6		40.80		5.88		19.1		0.47	52.19
03:47.6		40.80		5.88		19.2		0.47	52.19
03:48.6		40.80		5.88		19.2		0.47	52.19
03:49.6		40.80		5.89		19.3		0.47	52.19
03:50.6		40.80		5.88		19.4		0.48	52.20
03:51.6		40.80		5.88		19.4		0.48	52.20
03:52.6		40.80		5.89		19.5		0.48	52.20
03:53.6		40.80		5.89		19.6		0.48	52.20
03:54.6		40.80		5.89		19.6		0.48	52.20
03:55.6		40.80		5.89		19.7		0.48	52.20
03:56.6		40.80		5.87		19.8		0.49	52.20
03:57.6		40.80		5.90		19.8		0.49	52.21
03:58.6		40.80		5.87		19.9		0.49	52.21
03:59.6		40.80		5.88		20.0		0.49	52.21
04:00.6		40.80		5.88		20.0		0.49	52.21
04:01.6		40.80		5.88		20.1		0.49	52.21
04:02.6		40.80		5.89		20.2		0.50	52.22
04:03.6		40.80		5.88		20.2		0.50	52.22
04:04.6		40.80		5.88		20.3		0.50	52.22
04:05.6		40.80		5.90		20.4		0.50	52.22
04:06.6		40.80		5.88		20.4		0.50	52.22
04:07.6		40.80		5.89		20.5		0.50	52.22
04:08.6		40.80		5.87		20.6		0.51	52.23
04:09.6		40.79		5.88		20.6		0.51	52.23
04:10.6		40.80		5.87		20.7		0.51	52.23
04:11.6		40.80		5.88		20.8		0.51	52.23
04:12.6		40.80		5.88		20.8		0.51	52.23
04:13.6		40.79		5.89		20.9		0.51	52.23
04:14.6		40.80		5.88		21.0		0.52	52.23
04:15.6		40.80		5.88		21.0		0.52	52.24
04:16.6		40.80		5.88		21.1		0.52	52.24
04:17.6		40.80		5.88		21.2		0.52	52.24
04:18.6		40.79		5.88		21.2		0.52	52.24
04:19.6		40.79		5.89		21.3		0.52	52.24
04:20.6		40.80		5.87		21.4		0.52	52.24
04:21.6		40.80		5.87		21.4		0.53	52.25
04:22.6		40.80		5.88		21.5		0.53	52.25
04:23.6		40.80		5.88		21.6		0.53	52.25
04:24.6		40.80		5.88		21.6		0.53	52.25
04:25.6		40.80		5.88		21.7		0.53	52.25
04:26.6		40.80		5.87		21.8		0.53	52.25
04:27.6		40.79		5.87		21.8		0.54	52.26
04:28.6		40.80		5.89		21.9		0.54	52.26
04:29.6		40.79		5.88		22.0		0.54	52.26
04:30.6		40.80		5.87		22.0		0.54	52.26
04:31.6		40.79		5.88		22.1		0.54	52.26
04:32.6		40.79		5.88		22.2		0.54	52.26
04:33.6		40.79		5.87		22.2		0.55	52.27
04:34.6		40.80		5.88		22.3		0.55	52.27
04:35.6		40.80		5.88		22.4		0.55	52.27
04:36.6		40.79		5.89		22.4		0.55	52.27
04:37.6		40.79		5.87		22.5		0.55	52.27
04:38.6		40.79		5.86		22.6		0.55	52.27
04:39.6		40.79		5.87		22.6		0.56	52.27
04:40.6		40.80		5.89		22.7		0.56	52.28
04:41.6		40.79		5.88		22.8		0.56	52.28
04:42.6		40.79		5.88		22.8		0.56	52.28
04:43.6		40.79		5.89		22.9		0.56	52.28
04:44.6		40.79		5.88		23.0		0.56	52.28
04:45.6		40.79		5.88		23.0		0.57	52.28
04:46.6		40.79		5.88		23.1		0.57	52.29
04:47.6		40.79		5.88		23.2		0.57	52.29
04:48.6		40.79		5.87		23.2		0.57	52.29
04:49.6		40.78		5.87		23.3		0.57	52.29
04:50.6		40.77		5.88		23.4		0.57	52.29
04:51.6		40.77		5.88		23.4		0.58	52.30
04:52.6		40.76		5.88		23.5		0.58	52.30
04:53.6		40.75		5.86		23.6		0.58	52.30
04:54.6		40.73		5.87		23.6		0.58	52.30
04:55.6		40.73		5.87		23.7		0.58	52.30
04:56.6		40.72		5.87		23.8		0.58	52.30
04:57.6		40.70		5.88		23.8		0.59	52.30
04:58.6		40.69		5.87		23.9		0.59	52.31
04:59.6		40.68		5.87		24.0		0.59	52.31
05:00.6		40.67		5.87		24.0		0.59	52.31
05:01.6		40.66		5.86		24.1		0.59	52.31
05:02.6		40.66		5.87		24.2		0.59	52.31
05:03.6		40.66		5.87		24.2		0.60	52.31
05:04.6		40.65		5.87		24.3		0.60	52.32
05:05.6		40.65		5.86		24.4		0.60	52.32
05:06.6		40.65		5.87		24.4		0.60	52.32
05:07.6		40.65		5.87		24.5		0.60	52.32
05:08.6		40.65		5.86		24.6		0.60	52.32
05:09.6		40.65		5.88		24.6		0.60	52.32
05:10.6		40.65		5.87		24.7		0.61	52.33
05:11.6		40.65		5.88		24.8		0.61	52.33
05:12.6		40.65		5.88		24.8		0.61	52.33
05:13.6		40.65		5.88		24.9		0.61	52.33
05:14.6		40.65		5.87		25.0		0.61	52.33
05:15.6		40.65		5.87		25.0		0.61	52.33
05:16.6		40.65		5.88		25.1		0.62	52.34
05:17.6		40.65		5.87		25.2		0.62	52.34
05:18.6		40.65		5.87		25.2		0.62	52.34
05:19.6		40.65		5.87		25.3		0.62	52.34
05:20.6		40.65		5.86		25.4		0.62	52.34
05:21.6		40.65		5.87		25.4		0.62	52.34
05:22.6		40.65		5.87		25.5		0.63	52.34
05:23.6		40.65		5.87		25.6		0.63	52.35
05:24.6		40.65		5.88		25.6		0.63	52.35
05:25.6		40.65		5.88		25.7		0.63	52.35
05:26.6		40.65		5.87		25.8		0.63	52.35
05:27.6		40.65		5.86		25.8		0.63	52.35
05:28.6		40.64		5.87		25.9		0.64	52.35
05:29.6		40.65		5.87		26.0		0.64	52.36
05:30.6		40.65		5.88		26.0		0.64	52.36
05:31.6		40.65		5.87		26.1		0.64	52.36
05:32.6		40.64		5.87		26.2		0.64	52.36
05:33.6		40.65		5.86		26.2		0.64	52.36
05:34.6		40.65		5.87		26.3		0.65	52.37
05:35.6		40.65		5.87		26.4		0.65	52.37
05:36.6		40.64		5.88		26.4		0.65	52.37
05:37.6		40.65		5.87		26.5		0.65	52.37
05:38.6		40.65		5.86		26.6		0.65	52.37
05:39.6		40.65		5.87		26.6		0.65	52.37
05:40.6		40.65		5.88		26.7		0.66	52.38
05:41.6		40.65		5.87		26.8		0.66	52.38
05:42.6		40.65		5.87		26.8		0.66	52.38
05:43.6		40.64		5.88		26.9		0.66	52.38
05:44.6		40.65		5.87		27.0		0.66	52.38
05:45.6		40.65		5.87		27.0		0.66	52.38
05:46.6		40.65		5.88		27.1		0.67	52.38
05:47.6		40.65		5.87		27.2		0.67	52.39
05:48.6		40.65		5.87		27.2		0.67	52.39
05:49.6		40.65		5.86		27.3		0.67	52.39
05:50.6		40.65		5.87		27.4		0.67	52.39
05:51.6		40.64		5.86		27.4		0.67	52.39
05:52.6		40.65		5.87		27.5		0.67	52.39
05:53.6		40.65		5.87		27.6		0.68	52.40
05:54.6		40.65		5.86		27.6		0.68	52.40
05:55.6		40.64		5.86		27.7		0.68	52.40
05:56.6		40.65		5.87		27.8		0.68	52.40
05:57.6		40.65		5.87		27.8		0.68	52.40
05:58.6		40.65		5.87		27.9		0.68	52.40
05:59.6		40.65		5.87		28.0		0.69	52.41
06:00.6		40.65		5.86		28.0		0.69	52.41
06:01.6		40.65		5.88		28.1		0.69	52.41
06:02.6		40.65		5.87		28.2		0.69	52.41
06:03.6		40.65		5.86		28.2		0.69	52.41
06:04.6		40.65		5.86		28.3		0.69	52.41
06:05.6		40.64		5.88		28.4		0.70	52.42
06:06.6		40.65		5.86		28.4		0.70	52.42
06:07.6		40.64		5.86		28.5		0.70	52.42
06:08.6		40.64		5.87		28.6		0.70	52.42
06:09.7		40.65		5.87		28.6		0.70	52.42
06:10.6		40.64		5.86		28.7		0.70	52.42
06:11.6		40.64		5.87		28.7		0.71	52.42
06:12.6		40.64		5.86		28.8		0.71	52.43
06:13.6		40.64		5.86		28.9		0.71	52.43
06:14.6		40.64		5.86		28.9		0.71	52.43
06:15.6		40.64		5.86		29.0		0.71	52.43
06:16.6		40.65		5.86		29.1		0.71	52.43
06:17.6		40.64		5.86		29.1		0.72	52.44
06:18.6		40.65		5.87		29.2		0.72	52.44
06:19.6		40.64		5.86		29.3		0.72	52.44
06:20.6		40.64		5.86		29.3		0.72	52.44
06:21.6		40.64		5.85		29.4		0.72	52.44
06:22.6		40.65		5.86		29.5		0.72	52.44
06:23.6		40.64		5.86		29.5		0.73	52.45
06:24.6		40.64		5.86		29.6		0.73	52.45
06:25.6		40.64		5.87		29.7		0.73	52.45
06:26.6		40.64		5.86		29.7		0.73	52.45
06:27.6		40.64		5.85		29.8		0.73	52.45
06:28.6		40.64		5.86		29.9		0.73	52.45
06:29.6		40.64		5.85		29.9		0.74	52.45
06:30.6		40.63		5.86		30.0		0.74	52.46
06:31.6		40.63		5.86		30.1		0.74	52.46
06:32.6		40.62		5.87		30.1		0.74	52.46
06:33.6		40.61		5.86		30.2		0.74	52.46
06:34.6		40.61		5.86		30.3		0.74	52.46
06:35.6		40.60		5.86		30.3		0.74	52.46
06:36.6		40.59		5.86		30.4		0.75	52.47
06:37.6		40.57		5.85		30.5		0.75	52.47
06:38.6		40.57		5.86		30.5		0.75	52.47
06:39.6		40.55		5.86		30.6		0.75	52.47
06:40.6		40.54		5.86		30.7		0.75	52.47
06:41.6		40.54		5.86		30.7		0.75	52.47
06:42.6		40.53		5.85		30.8		0.76	52.48
06:43.6		40.52		5.87		30.9		0.76	52.48
06:44.6		40.51		5.86		30.9		0.76	52.48
06:45.6		40.51		5.86		31.0		0.76	52.48
06:46.6		40.50		5.85		31.1		0.76	52.48
06:47.7		40.50		5.86		31.1		0.76	52.48
06:48.6		40.50		5.84		31.2		0.77	52.48
06:49.6		40.50		5.86		31.3		0.77	52.49
06:50.6		40.50		5.85		31.3		0.77	52.49
06:51.6		40.50		5.85		31.4		0.77	52.49
06:52.6		40.50		5.86		31.5		0.77	52.49
06:53.6		40.50		5.85		31.5		0.77	52.49
06:54.6		40.50		5.85		31.6		0.78	52.49
06:55.6		40.50		5.86		31.7		0.78	52.50
06:56.6		40.50		5.86		31.7		0.78	52.50
06:57.6		40.50		5.85		31.8		0.78	52.50
06:58.6		40.50		5.86		31.9		0.78	52.50
06:59.6		40.50		5.84		31.9		0.78	52.50
07:00.6		40.50		5.87		32.0		0.79	52.51
07:01.6		40.50		5.85		32.1		0.79	52.51
07:02.6		40.50		5.86		32.1		0.79	52.51
07:03.6		40.50		5.86		32.2		0.79	52.51
07:04.6		40.50		5.85		32.2		0.79	52.51
07:05.6		40.50		5.84		32.3		0.79	52.51
07:06.6		40.50		5.85		32.4		0.80	52.51
07:07.6		40.50		5.86		32.4		0.80	52.52
07:08.6		40.50		5.86		32.5		0.80	52.52
07:09.6		40.50		5.85		32.6		0.80	52.52
07:10.6		40.50		5.85		32.6		0.80	52.52
07:11.6		40.50		5.86		32.7		0.80	52.52
07:12.6		40.50		5.85		32.8		0.81	52.52
07:13.6		40.50		5.85		32.8		0.81	52.53
07:14.6		40.50		5.85		32.9		0.81	52.53
07:15.6		40.50		5.87		33.0		0.81	52.53
07:16.6		40.49		5.85		33.0		0.81	52.53
07:17.6		40.50		5.86		33.1		0.81	52.53
07:18.6		40.50		5.85		33.2		0.81	52.53
07:19.6		40.50		5.85		33.2		0.82	52.53
07:20.6		40.50		5.85		33.3		0.82	52.54
07:21.6		40.50		5.84		33.4		0.82	52.54
07:22.6		40.50		5.85		33.4		0.82	52.54
07:23.6		40.50		5.85		33.5		0.82	52.54
07:24.6		40.50		5.85		33.6		0.82	52.54
07:25.6		40.49		5.85		33.6		0.83	52.55
07:26.6		40.50		5.85		33.7		0.83	52.55
07:27.6		40.50		5.84		33.8		0.83	52.55
07:28.6		40.50		5.85		33.8		0.83	52.55
07:29.6		40.50		5.86		33.9		0.83	52.55
07:30.6		40.50		5.84		34.0		0.83	52.55
07:31.6		40.50		5.85		34.0		0.84	52.55
07:32.6		40.50		5.84		34.1		0.84	52.56
07:33.6		40.49		5.84		34.2		0.84	52.56
07:34.6		40.49		5.84		34.2		0.84	52.56
07:35.6		40.50		5.85		34.3		0.84	52.56
07:36.6		40.50		5.85		34.4		0.84	52.56
07:37.6		40.49		5.85		34.4		0.85	52.56
07:38.6		40.49		5.84		34.5		0.85	52.57
07:39.6		40.49		5.84		34.6		0.85	52.57
07:40.6		40.49		5.86		34.6		0.85	52.57
07:41.6		40.50		5.86		34.7		0.85	52.57
07:42.6		40.49		5.85		34.7		0.85	52.57
07:43.6		40.50		5.84		34.8		0.86	52.57
07:44.6		40.50		5.84		34.9		0.86	52.58
07:45.6		40.50		5.85		34.9		0.86	52.58
07:46.6		40.49		5.84		35.0		0.86	52.58
07:47.6		40.49		5.86		35.1		0.86	52.58
07:48.6		40.50		5.84		35.1		0.86	52.58
07:49.6		40.49		5.84		35.2		0.87	52.58
07:50.6		40.50		5.84		35.3		0.87	52.59
07:51.6		40.49		5.85		35.3		0.87	52.59
07:52.6		40.49		5.84		35.4		0.87	52.59
07:53.6		40.49		5.85		35.5		0.87	52.59
07:54.6		40.49		5.84		35.5		0.87	52.59
07:55.6		40.49		5.85		35.6		0.88	52.59
07:56.6		40.49		5.84		35.7		0.88	52.60
07:57.6		40.49		5.83		35.7		0.88	52.60
07:58.6		40.49		5.84		35.8		0.88	52.60
07:59.6		40.50		5.85		35.9		0.88	52.60
08:00.6		40.49		5.84		35.9		0.88	52.60
08:01.6		40.49		5.85		36.0		0.88	52.60
08:02.6		40.49		5.84		36.1		0.89	52.60
08:03.6		40.49		5.84		36.1		0.89	52.61
08:04.6		40.49		5.84		36.2		0.89	52.61
08:05.6		40.49		5.85		36.3		0.89	52.61
08:06.6		40.49		5.85		36.3		0.89	52.61
08:07.6		40.49		5.85		36.4		0.89	52.61
08:08.6		40.49		5.84		36.5		0.90	52.62
08:09.6		40.49		5.84		36.5		0.90	52.62
08:10.6		40.49		5.83		36.6		0.90	52.62
08:11.6		40.49		5.84		36.7		0.90	52.62
08:12.6		40.49		5.84		36.7		0.90	52.62
08:13.6		40.49		5.83		36.8		0.90	52.62
08:14.6		40.48		5.84		36.9		0.91	52.62
08:15.6		40.48		5.85		36.9		0.91	52.63
08:16.6		40.48		5.82		37.0		0.91	52.63
08:17.6		40.47		5.83		37.0		0.91	52.63
08:18.6		40.46		5.85		37.1		0.91	52.63
08:19.6		40.45		5.84		37.2		0.91	52.63
08:20.6		40.44		5.84		37.2		0.92	52.63
08:21.6		40.44		5.84		37.3		0.92	52.64
08:22.6		40.42		5.85		37.4		0.92	52.64
08:23.6		40.41		5.84		37.4		0.92	52.64
08:24.6		40.40		5.82		37.5		0.92	52.64
08:25.6		40.39		5.84		37.6		0.92	52.64
08:26.6		40.38		5.84		37.6		0.93	52.64
08:27.6		40.37		5.84		37.7		0.93	52.65
08:28.6		40.36		5.85		37.8		0.93	52.65
08:29.6		40.36		5.84		37.8		0.93	52.65
08:30.6		40.35		5.84		37.9		0.93	52.65
08:31.6		40.35		5.84		38.0		0.93	52.65
08:32.6		40.35		5.85		38.0		0.94	52.65
08:33.6		40.35		5.84		38.1		0.94	52.66
08:34.6		40.35		5.84		38.2		0.94	52.66
08:35.6		40.35		5.84		38.2		0.94	52.66
08:36.6		40.35		5.84		38.3		0.94	52.66
08:37.6		40.35		5.83		38.4		0.94	52.66
08:38.6		40.35		5.83		38.4		0.94	52.66
08:39.6		40.35		5.84		38.5		0.95	52.66
08:40.6		40.35		5.84		38.6		0.95	52.67
08:41.6		40.35		5.84		38.6		0.95	52.67
08:42.6		40.35		5.83		38.7		0.95	52.67
08:43.6		40.35		5.83		38.8		0.95	52.67
08:44.6		40.35		5.82		38.8		0.95	52.67
08:45.6		40.35		5.83		38.9		0.96	52.67
08:46.6		40.35		5.84		38.9		0.96	52.68
08:47.6		40.35		5.84		39.0		0.96	52.68
08:48.6		40.35		5.84		39.1		0.96	52.68
08:49.6		40.35		5.84		39.1		0.96	52.68
08:50.6		40.35		5.83		39.2		0.96	52.68
08:51.6		40.34		5.83		39.3		0.97	52.68
08:52.6		40.35		5.83		39.3		0.97	52.69
08:53.6		40.35		5.84		39.4		0.97	52.69
08:54.6		40.35		5.83		39.5		0.97	52.69
08:55.6		40.35		5.83		39.5		0.97	52.69
08:56.6		40.35		5.83		39.6		0.97	52.69
08:57.6		40.34		5.83		39.7		0.98	52.69
